date,agent_id,agent_name,team,gender,age,attendance_status,shift_start_time,shift_end_time,login_time,logout_time,tea_break_time,lunch_break_time,bio_break_time,training_time,talk_time,hold_time,after_call_work,calls_handled,total_login,quality_score
1/1/2025,Vikr039,Vikram Shetty,Inbound,Male,31,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Varu040,Varun Verma,Retention,Male,37,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Varu041,Varun Menon,Inbound,Female,26,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Vikr042,Vikram Singh,Retention,Male,25,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Pree043,Preethi Reddy,Retention,Male,22,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Mano044,Manoj Mehta,Inbound,Male,26,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Sowm045,Sowmya Gupta,Inbound,Female,31,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Pooj046,Pooja Pillai,Retention,Male,36,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Kart047,Karthik Menon,Outbound,Male,36,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Kavy048,Kavya Reddy,Inbound,Female,21,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Aish049,Aishwarya Mishra,Outbound,Male,29,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Nave050,Naveen Agarwal,Outbound,Male,26,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Neha051,Neha Sharma,Outbound,Male,36,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Neha052,Neha Yadav,Inbound,Male,23,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Riti053,Ritika Verma,Outbound,Male,24,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Sury054,Surya Joshi,Inbound,Female,39,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Anan055,Anand Sharma,Outbound,Female,23,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Sury056,Surya Verma,Retention,Female,39,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Pree057,Preethi Singh,Retention,Male,27,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Rake058,Rakesh Singh,Inbound,Male,29,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Dine059,Dinesh Nair,Retention,Male,21,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Shru060,Shruthi Chopra,Retention,Female,28,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Sneh061,Sneha Mehta,Outbound,Male,27,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Vign062,Vignesh Joshi,Inbound,Male,38,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Varu063,Varun Das,Outbound,Female,28,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Hari064,Harini Pillai,Outbound,Male,21,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Nave065,Naveen Reddy,Outbound,Female,31,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Pooj066,Pooja Das,Outbound,Female,38,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Sure067,Suresh Pillai,Outbound,Female,30,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Aish068,Aishwarya Shetty,Outbound,Male,23,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Mano069,Manoj Das,Outbound,Male,27,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Vign070,Vignesh Patel,Inbound,Male,36,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Arun071,Arun Kumar,Retention,Male,36,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Moni072,Monika Sharma,Outbound,Male,37,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Rohi073,Rohit Kumar,Outbound,Male,22,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Anja074,Anjali Mishra,Outbound,Male,21,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Hari075,Harish Patel,Outbound,Female,36,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Anja076,Anjali Chopra,Outbound,Male,32,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Vikr077,Vikram Joshi,Outbound,Female,25,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Rahu078,Rahul Yadav,Retention,Male,25,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Sowm079,Sowmya Agarwal,Retention,Male,29,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Nave080,Naveen Das,Outbound,Male,29,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Sowm081,Sowmya Kumar,Retention,Female,23,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Rake082,Rakesh Mishra,Inbound,Female,39,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Pooj083,Pooja Menon,Outbound,Female,36,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Prad084,Pradeep Kumar,Inbound,Female,36,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Anan085,Anand Menon,Inbound,Male,23,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Abhi086,Abhishek Mishra,Outbound,Female,21,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Anja087,Anjali Rao,Retention,Male,31,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Deep088,Deepak Das,Inbound,Male,37,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Arun089,Arun Reddy,Outbound,Female,28,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Nave090,Naveen Gupta,Inbound,Female,24,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Arun091,Arun Patel,Inbound,Female,26,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Moni092,Monika Yadav,Inbound,Female,28,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Divy093,Divya Yadav,Inbound,Female,23,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Rake094,Rakesh Shetty,Retention,Female,36,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Sneh095,Sneha Joshi,Inbound,Female,23,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Pooj096,Pooja Iyer,Inbound,Female,38,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Hari097,Harish Nair,Inbound,Male,34,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Laks098,Lakshmi Chopra,Retention,Female,38,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Sure099,Suresh Iyer,Inbound,Female,22,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/1/2025,Hari100,Harish Iyer,Inbound,Male,23,Holiday,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Moni001,Monika Gupta,Retention,Female,27,Present,9:00:00,18:00:00,1/2/2025 9:04,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:33,0 days 00:00:29,0 days 00:00:50,57,0 days 08:56:00,75.35
1/2/2025,Sanj002,Sanjay Rao,Inbound,Female,21,Week Off,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Sneh003,Sneha Nair,Retention,Female,21,Week Off,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Mano004,Manoj Rao,Retention,Male,33,Uninformed Leave,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Vign005,Vignesh Das,Inbound,Male,29,Week Off,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Sure006,Suresh Shetty,Inbound,Male,23,Present,9:00:00,18:00:00,1/2/2025 9:04,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:15,0 days 00:00:33,0 days 00:00:35,80,0 days 08:56:00,89.78
1/2/2025,Vign007,Vignesh Gupta,Retention,Male,27,Present,9:00:00,18:00:00,1/2/2025 9:19,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:32,0 days 00:00:38,0 days 00:00:56,57,0 days 08:41:00,89.4
1/2/2025,Pree008,Preethi Yadav,Outbound,Female,26,Half Day,9:00:00,18:00:00,1/2/2025 9:07,1/2/2025 13:07,0 days 00:10:00,0 days 00:00:00,0 days 00:05:00,0 days 00:00:00,0 days 00:03:43,0 days 00:00:38,0 days 00:00:32,17,0 days 04:00:00,79.94
1/2/2025,Ajay009,Ajay Menon,Retention,Male,28,Week Off,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Pree010,Preethi Verma,Retention,Male,29,Week Off,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Kart011,Karthik Agarwal,Retention,Male,25,Present,9:00:00,18:00:00,1/2/2025 9:18,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:25,0 days 00:00:19,0 days 00:00:45,54,0 days 08:42:00,82.83
1/2/2025,Neha012,Neha Reddy,Retention,Male,21,Week Off,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Sanj013,Sanjay Gupta,Inbound,Male,39,Week Off,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Rohi014,Rohit Rao,Retention,Female,30,Week Off,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Arun015,Arun Shetty,Outbound,Male,32,Present,9:00:00,18:00:00,1/2/2025 9:06,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:04:14,0 days 00:00:38,0 days 00:00:55,44,0 days 08:54:00,84.61
1/2/2025,Nish016,Nisha Menon,Inbound,Female,35,Absent,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Nish017,Nisha Agarwal,Outbound,Male,29,Present,9:00:00,18:00:00,1/2/2025 9:04,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:23,0 days 00:00:32,0 days 00:00:51,40,0 days 08:56:00,94.74
1/2/2025,Deep018,Deepak Chopra,Outbound,Female,37,Present,9:00:00,18:00:00,1/2/2025 9:12,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:29,0 days 00:00:26,0 days 00:00:39,45,0 days 08:48:00,94.01
1/2/2025,Keer019,Keerthana Shetty,Outbound,Male,37,Present,9:00:00,18:00:00,1/2/2025 9:18,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:04:17,0 days 00:00:29,0 days 00:00:38,52,0 days 08:42:00,86.34
1/2/2025,Hari020,Harish Chopra,Outbound,Male,32,Present,9:00:00,18:00:00,1/2/2025 9:04,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:24,0 days 00:00:29,0 days 00:00:40,50,0 days 08:56:00,92.3
1/2/2025,Sowm021,Sowmya Patel,Inbound,Female,27,Present,9:00:00,18:00:00,1/2/2025 9:06,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 01:11:00,0 days 00:04:15,0 days 00:00:18,0 days 00:00:29,84,0 days 08:54:00,94.25
1/2/2025,Vign022,Vignesh Rao,Inbound,Female,22,Half Day,9:00:00,18:00:00,1/2/2025 9:05,1/2/2025 13:05,0 days 00:10:00,0 days 00:00:00,0 days 00:05:00,0 days 00:42:00,0 days 00:03:39,0 days 00:00:19,0 days 00:00:28,38,0 days 04:00:00,93.9
1/2/2025,Ajay023,Ajay Shetty,Outbound,Female,23,Present,9:00:00,18:00:00,1/2/2025 9:04,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:04:04,0 days 00:00:31,0 days 00:00:36,58,0 days 08:56:00,96.79
1/2/2025,Pooj024,Pooja Agarwal,Outbound,Male,37,Absent,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Nish025,Nisha Mehta,Inbound,Female,25,Present,9:00:00,18:00:00,1/2/2025 9:05,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:18,0 days 00:00:38,0 days 00:00:58,58,0 days 08:55:00,84.76
1/2/2025,Moni026,Monika Verma,Inbound,Male,37,Leave,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Shru027,Shruthi Joshi,Inbound,Male,37,Present,9:00:00,18:00:00,1/2/2025 9:02,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:19,0 days 00:00:37,0 days 00:00:27,81,0 days 08:58:00,77.7
1/2/2025,Keer028,Keerthana Kumar,Retention,Female,37,Present,9:00:00,18:00:00,1/2/2025 9:00,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:04:01,0 days 00:00:34,0 days 00:00:44,29,0 days 09:00:00,94.98
1/2/2025,Deep029,Deepak Gupta,Retention,Female,22,Present,9:00:00,18:00:00,1/2/2025 9:05,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:46,0 days 00:00:30,0 days 00:00:35,45,0 days 08:55:00,87.14
1/2/2025,Aish030,Aishwarya Patel,Retention,Male,22,Absent,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Hari031,Harini Agarwal,Outbound,Male,25,Present,9:00:00,18:00:00,1/2/2025 9:02,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:56,0 days 00:00:27,0 days 00:00:33,58,0 days 08:58:00,81.77
1/2/2025,Anja032,Anjali Reddy,Retention,Female,21,Absent,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Varu033,Varun Patel,Outbound,Female,21,Week Off,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Mano034,Manoj Gupta,Outbound,Female,39,Present,9:00:00,18:00:00,1/2/2025 9:02,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:07,0 days 00:00:35,0 days 00:00:47,72,0 days 08:58:00,89.88
1/2/2025,Sanj035,Sanjay Patel,Retention,Male,22,Present,9:00:00,18:00:00,1/2/2025 9:17,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:40,0 days 00:00:13,0 days 00:00:46,38,0 days 08:43:00,91.06
1/2/2025,Shru036,Shruthi Das,Outbound,Male,32,Present,9:00:00,18:00:00,1/2/2025 9:00,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:12,0 days 00:00:23,0 days 00:00:54,42,0 days 09:00:00,93.92
1/2/2025,Rake037,Rakesh Reddy,Retention,Male,26,Week Off,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Ajay038,Ajay Nair,Retention,Male,24,Uninformed Leave,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Vikr039,Vikram Shetty,Inbound,Male,31,Present,9:00:00,18:00:00,1/2/2025 9:14,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:09,0 days 00:00:33,0 days 00:00:49,75,0 days 08:46:00,94.92
1/2/2025,Varu040,Varun Verma,Retention,Male,37,Week Off,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Varu041,Varun Menon,Inbound,Female,26,Present,9:00:00,18:00:00,1/2/2025 9:00,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:10,0 days 00:00:30,0 days 00:00:45,72,0 days 09:00:00,83.76
1/2/2025,Vikr042,Vikram Singh,Retention,Male,25,Absent,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Pree043,Preethi Reddy,Retention,Male,22,Half Day,9:00:00,18:00:00,1/2/2025 9:12,1/2/2025 13:12,0 days 00:10:00,0 days 00:00:00,0 days 00:05:00,0 days 01:10:00,0 days 00:03:00,0 days 00:00:30,0 days 00:00:25,22,0 days 04:00:00,90.91
1/2/2025,Mano044,Manoj Mehta,Inbound,Male,26,Week Off,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Sowm045,Sowmya Gupta,Inbound,Female,31,Week Off,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Pooj046,Pooja Pillai,Retention,Male,36,Present,9:00:00,18:00:00,1/2/2025 9:04,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:36,0 days 00:00:19,0 days 00:00:29,57,0 days 08:56:00,83.69
1/2/2025,Kart047,Karthik Menon,Outbound,Male,36,Present,9:00:00,18:00:00,1/2/2025 9:08,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:50,0 days 00:00:22,0 days 00:00:32,57,0 days 08:52:00,79.77
1/2/2025,Kavy048,Kavya Reddy,Inbound,Female,21,Leave,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Aish049,Aishwarya Mishra,Outbound,Male,29,Present,9:00:00,18:00:00,1/2/2025 9:01,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:33,0 days 00:00:31,0 days 00:00:22,57,0 days 08:59:00,86.96
1/2/2025,Nave050,Naveen Agarwal,Outbound,Male,26,Half Day,9:00:00,18:00:00,1/2/2025 9:11,1/2/2025 13:11,0 days 00:10:00,0 days 00:00:00,0 days 00:05:00,0 days 00:00:00,0 days 00:03:56,0 days 00:00:26,0 days 00:00:42,21,0 days 04:00:00,92.37
1/2/2025,Neha051,Neha Sharma,Outbound,Male,36,Present,9:00:00,18:00:00,1/2/2025 9:01,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:37,0 days 00:00:27,0 days 00:00:53,56,0 days 08:59:00,89.64
1/2/2025,Neha052,Neha Yadav,Inbound,Male,23,Week Off,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Riti053,Ritika Verma,Outbound,Male,24,Present,9:00:00,18:00:00,1/2/2025 9:18,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:51,0 days 00:00:34,0 days 00:00:57,61,0 days 08:42:00,85.37
1/2/2025,Sury054,Surya Joshi,Inbound,Female,39,Leave,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Anan055,Anand Sharma,Outbound,Female,23,Present,9:00:00,18:00:00,1/2/2025 9:09,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:04:08,0 days 00:00:11,0 days 00:00:25,54,0 days 08:51:00,86.33
1/2/2025,Sury056,Surya Verma,Retention,Female,39,Week Off,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Pree057,Preethi Singh,Retention,Male,27,Present,9:00:00,18:00:00,1/2/2025 9:10,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:04:14,0 days 00:00:28,0 days 00:00:42,51,0 days 08:50:00,77.95
1/2/2025,Rake058,Rakesh Singh,Inbound,Male,29,Present,9:00:00,18:00:00,1/2/2025 9:15,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:04:06,0 days 00:00:12,0 days 00:00:46,65,0 days 08:45:00,90.35
1/2/2025,Dine059,Dinesh Nair,Retention,Male,21,Week Off,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Shru060,Shruthi Chopra,Retention,Female,28,Present,9:00:00,18:00:00,1/2/2025 9:18,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:34:00,0 days 00:03:41,0 days 00:00:38,0 days 00:00:41,36,0 days 08:42:00,77.04
1/2/2025,Sneh061,Sneha Mehta,Outbound,Male,27,Week Off,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Vign062,Vignesh Joshi,Inbound,Male,38,Present,9:00:00,18:00:00,1/2/2025 9:08,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:25,0 days 00:00:34,0 days 00:00:41,60,0 days 08:52:00,76.88
1/2/2025,Varu063,Varun Das,Outbound,Female,28,Week Off,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Hari064,Harini Pillai,Outbound,Male,21,Leave,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Nave065,Naveen Reddy,Outbound,Female,31,Leave,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Pooj066,Pooja Das,Outbound,Female,38,Present,9:00:00,18:00:00,1/2/2025 9:03,1/2/2025 18:00,0 days 00:15:00,0 days 00:30:00,0 days 00:10:00,0 days 00:00:00,0 days 00:03:51,0 days 00:00:24,0 days 00:00:41,45,0 days 08:57:00,80.43
1/2/2025,Sure067,Suresh Pillai,Outbound,Female,30,Week Off,9:00:00,18:00:00,,,,,,,,,,0,,0
1/2/2025,Aish068,Aishwarya Shetty,Outbound,Male,23,Week Off,9:00:00,18:00:00,,,,,,,,,,0,,0
